index,Id,Name,ENI,MMSI,capacityTon,capacityM3,lengthCm,widthCm,maxDraughtCm,minDraughtCm,tonnageCertificates,flag,avgFuelConsumptionLtrKm,categoryTon,categoryM3,categoryM2
0,1,Gracias,4812270,211706940.0,2673.0,2900.0,10999.0,1145.0,320.0,95.0,"{""190"":""1126"",""290"":""2311"",""170"":""895"",""390"":"""",""270"":""2070"",""150"":""668"",""370"":"""",""250"":""1831"",""130"":""443"",""350"":"""",""230"":"""",""110"":"""",""330"":"""",""210"":""1359"",""310"":""2552"",""90"":"""",""180"":""1010"",""280"":""2190"",""160"":""781"",""380"":"""",""260"":""1950"",""140"":""555"",""360"":"""",""240"":""1712"",""120"":""331"",""340"":"""",""220"":""1476"",""100"":"""",""320"":""2673"",""200"":""1242"",""300"":""2431"",""400"":"""",""80"":""""}",NL,6.23,3000.0,3000.0,13704900
1,2,Eiltank 39,4804490,211515740.0,1362.0,1500.0,8597.0,950.0,279.0,140.0,"{""190"":""673"",""290"":"""",""170"":""520"",""390"":"""",""270"":""1292"",""150"":""368"",""370"":"""",""250"":""1136"",""130"":"""",""350"":"""",""230"":""981"",""110"":"""",""330"":"""",""210"":""827"",""310"":"""",""90"":"""",""180"":""596"",""280"":""1362"",""160"":""444"",""380"":"""",""260"":""1214"",""140"":""293"",""360"":"""",""240"":""1059"",""120"":"""",""340"":"""",""220"":""904"",""100"":"""",""320"":"""",""200"":""750"",""300"":"""",""400"":"""",""80"":""""}",NL,4.11,1500.0,2000.0,8174100
2,3,Ijsselstroom,2323184,244630028.0,1500.0,2000.0,8100.0,899.0,,,,,,1500.0,2000.0,8174100
3,4,Terzo,2330163,244700896.0,2000.0,2000.0,8400.0,960.0,,,,,,2000.0,2000.0,8174100
4,5,Dettmer Tank 118,2332573,211727730.0,3000.0,3000.0,8600.0,1100.0,,,,,,3000.0,3000.0,9556800
5,6,Manuel,2329867,211442250.0,3000.0,3500.0,11000.0,1140.0,,,,,,3000.0,3500.0,13704900
6,7,Ingeborg,4024150,211439010.0,1500.0,2000.0,8000.0,818.0,,,,,,1500.0,2000.0,6791400
7,8,Jarona,4028110,211510336.0,1500.0,2000.0,8400.0,948.0,,,,,,1500.0,2000.0,8174100
8,9,Schelde,2326442,244670290.0,1749.0,2060.0,8600.0,1062.0,321.0,153.0,"{""190"":""657"",""290"":""1493"",""170"":""494"",""390"":"""",""270"":""1323"",""150"":""334"",""370"":"""",""250"":""1155"",""130"":"""",""350"":"""",""230"":"""",""110"":"""",""330"":"""",""210"":""821"",""310"":""1664"",""90"":"""",""180"":""575"",""280"":""1408"",""160"":""414"",""380"":"""",""260"":""1239"",""140"":"""",""360"":"""",""240"":""1071"",""120"":"""",""340"":"""",""220"":""904"",""100"":"""",""320"":""1750"",""200"":""739"",""300"":""1578"",""400"":"""",""80"":""""}",NL,4.11,2000.0,2500.0,9556800
9,10,Quellensee,4008090,211438560.0,1210.0,1535.0,8000.0,819.0,268.0,92.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,1500.0,2000.0,6791400
10,11,Eiltank 24,4502720,211490510.0,3500.0,4000.0,10900.0,1050.0,,,,,,3500.0,4000.0,12322200
11,13,Relationship II,2317465,211511920.0,1500.0,2000.0,8400.0,949.0,,,,,,1500.0,2000.0,8174100
12,14,Walter Deymann,4807460,211550380.0,1500.0,2000.0,8400.0,950.0,,,,,,1500.0,2000.0,8174100
13,15,Servus,2332610,244660401.0,5000.0,5500.0,13500.0,1145.0,,,,,,5000.0,5500.0,16470300
14,16,Elise,4803350,211513570.0,2828.0,3354.0,10976.0,1140.0,350.0,160.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3000.0,3500.0,13704900
15,17,Sophia,2325926,244660720.0,3000.0,3500.0,11000.0,1140.0,,,,,,3000.0,3500.0,13704900
16,18,Zeebrugge,6000282,205356700.0,2000.0,2000.0,9000.0,956.0,,,,,,2000.0,2000.0,9556800
17,19,Internautic 3,8023112,253242359.0,3000.0,3500.0,10400.0,900.0,,,,,,3000.0,3500.0,9556800
18,20,Reinie,2335106,244770901.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
19,21,Eiltank 43,4606090,211511520.0,2500.0,3000.0,10400.0,950.0,,,,,,2500.0,3000.0,10939500
20,23,Antonela,2336171,211664870.0,2000.0,2000.0,8500.0,1050.0,,,,,,2000.0,2000.0,9556800
21,24,Diane,2333409,244690847.0,5000.0,5500.0,13500.0,1145.0,,,,,,5000.0,5500.0,16470300
22,25,Bohemia ,4804100,211483260.0,3500.0,4000.0,11000.0,1170.0,,,,,,3500.0,4000.0,13704900
23,26,Stadt Aschaffenburg,4800870,211496510.0,3500.0,4000.0,10900.0,1100.0,,,,,,3500.0,4000.0,12322200
24,27,Oase,2332936,244670538.0,3500.0,4500.0,12500.0,1145.0,,,,,,3500.0,4500.0,15087600
25,28,Vectura,2328705,244700788.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
26,29,Yvonne,4013380,211506360.0,1500.0,2000.0,8400.0,902.0,,,,,,1500.0,2000.0,8174100
27,30,Novalis,2327101,244620654.0,3000.0,3500.0,11000.0,1140.0,,,,,,3000.0,3500.0,13704900
28,31,Franken,4805760,211443110.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
29,32,Gitte,2337099,211747180.0,3000.0,3500.0,11000.0,1144.0,,,,,,3000.0,3500.0,13704900
30,33,Gemini,2326510,244660878.0,3000.0,3500.0,11000.0,1140.0,,,,,,3000.0,3500.0,13704900
31,34,Asterode,4810890,211620610.0,2000.0,2000.0,8600.0,960.0,,,,,,2000.0,2000.0,9556800
32,35,Eiltank 232,5501960,211491460.0,3500.0,4000.0,10900.0,1145.0,,,,,,3500.0,4000.0,13704900
33,36,Suanca,4808880,211508440.0,1500.0,2000.0,8400.0,952.0,,,,,,1500.0,2000.0,8174100
34,37,Hans Nico,2331207,244660483.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
35,38,Kepler,2317727,244660011.0,1655.0,1700.0,10588.0,1101.0,250.0,140.0,"{""190"":""1011"",""290"":"""",""170"":""799"",""390"":"""",""270"":"""",""150"":""589"",""370"":"""",""250"":""1655"",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":""1224"",""310"":"""",""90"":"""",""180"":""905"",""280"":"""",""160"":""694"",""380"":"""",""260"":"""",""140"":""485"",""360"":"""",""240"":""1547"",""120"":"""",""340"":"""",""220"":""1331"",""100"":"""",""320"":"""",""200"":""1117"",""300"":"""",""400"":"""",""80"":"""",""229"":""1439""}",NL,,2000.0,2000.0,12322200
36,39,Heinrich Burmester ,8043014,253242368.0,1500.0,2000.0,8000.0,900.0,,,,,,1500.0,2000.0,8174100
37,41,Ulekrite,2333198,244770476.0,1746.0,1800.0,8596.0,948.0,331.0,137.0,"{""190"":""658"",""290"":""1425"",""170"":""510"",""390"":"""",""270"":""1269"",""150"":""363"",""370"":"""",""250"":""1114"",""130"":"""",""350"":"""",""230"":"""",""110"":"""",""330"":""1738"",""210"":""808"",""310"":""1581"",""90"":"""",""180"":""584"",""280"":""1347"",""160"":""436"",""380"":"""",""260"":""1191"",""140"":""291"",""360"":"""",""240"":""1037"",""120"":"""",""340"":"""",""220"":""884"",""100"":"""",""320"":""1659"",""200"":""733"",""300"":""1503"",""400"":"""",""80"":""""}",NL,4.11,2000.0,2000.0,8174100
38,42,Eiltank 21,5501630,211494200.0,3500.0,4000.0,10900.0,1050.0,,,,,,3500.0,4000.0,12322200
39,43,Judith,2327534,244660624.0,1500.0,2000.0,8000.0,952.0,,,,,,1500.0,2000.0,8174100
40,44,Botein,2332656,244650753.0,3228.0,3600.0,11000.0,1145.0,377.0,160.0,"{""190"":""1001"",""180"":""886"",""290"":""2179"",""170"":""770"",""280"":""2060"",""160"":""656"",""270"":""1941"",""380"":""3228"",""260"":""1823"",""370"":""3143"",""250"":""1704"",""360"":""3021"",""240"":""1586"",""350"":""2900"",""340"":""2779"",""220"":""1351"",""330"":""2659"",""210"":""1234"",""320"":""2539"",""200"":""1117"",""310"":""2419"",""300"":""2299"",""229"":""1468""}",NL,,3500.0,4000.0,13704900
41,45,Eiltank 66,4807240,211551260.0,1500.0,2000.0,8500.0,950.0,,,,,,1500.0,2000.0,8174100
42,46,Selina,5301240,244780216.0,1500.0,2000.0,8500.0,900.0,,,,,,1500.0,2000.0,8174100
