index,voyage_id,ship_id,voyage_start,voyage_end,ship_alias
0,5969,593,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,593ship
1,5973,309,2021-07-09T22:00:00Z,2021-07-11T21:59:59Z,309ship
2,5988,102,2021-07-07T22:00:00Z,2021-07-12T21:59:59Z,102ship
3,5989,121,2021-07-05T22:00:00Z,2021-07-08T21:59:59Z,121ship
4,5990,71,2021-07-06T22:00:00Z,2021-07-10T21:59:59Z,71ship
5,5991,310,2021-07-07T22:00:00Z,2021-07-07T21:59:59Z,310ship
6,5995,63,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,63ship
7,5997,582,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,582ship
8,6001,282,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,282ship
9,6005,123,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,123ship
10,6006,237,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,237ship
11,6007,595,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,595ship
12,6008,139,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,139ship
13,6010,285,2021-07-05T22:00:00Z,2021-07-09T21:59:59Z,285ship
14,6011,41,2021-07-05T22:00:00Z,2021-07-08T21:59:59Z,41ship
15,6012,596,2021-07-07T22:00:00Z,2021-07-12T21:59:59Z,596ship
16,6013,79,2021-07-09T22:00:00Z,2021-07-12T21:59:59Z,79ship
17,6015,82,2021-07-06T22:00:00Z,2021-07-06T21:59:59Z,82ship
18,6018,580,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,580ship
19,6019,576,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,576ship
20,6020,228,2021-07-10T22:00:00Z,2021-07-12T21:59:59Z,228ship
21,6021,579,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,579ship
22,6022,309,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,309ship
23,6023,283,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,283ship
24,6024,279,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,279ship
25,6025,107,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,107ship
26,6026,79,2021-07-05T22:00:00Z,2021-07-08T21:59:59Z,79ship
27,6027,60,2021-07-06T22:00:00Z,2021-07-09T21:59:59Z,60ship
28,6028,592,2021-07-07T22:00:00Z,2021-07-12T21:59:59Z,592ship
29,6029,333,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,333ship
30,6030,73,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,73ship
31,6031,9,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,9ship
32,6032,137,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,137ship
33,6033,164,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,164ship
34,6034,511,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,511ship
35,6037,123,2021-07-09T22:00:00Z,2021-07-11T21:59:59Z,123ship
36,6038,593,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,593ship
37,6039,282,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,282ship
38,6040,459,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,459ship
39,6041,595,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,595ship
