index,code,description,type,encodedPolyline,latitude,longitude
0,NLAMS00000,Amsterdam,4,ot~~Hayy[aeBia@vtBkxk@l~Ho`GjtC|nDu{DdqPyrApwDzh@taB{Fp~GobB`iGwiC`dC,52.42712,4.72481
1,BEANB00000,Antwerpen,4,glpxH_~uXmP_nPlvGazFlNiCjuG_yFfgCc`EhnDoc@`_BpkC~pAnyCq\`]}`DccDkBfzGsoA|aI{lAffI`z@naAko@l_GobFujDw~@{eG{yKr}H,51.37108,4.2136
2,CHBFL00000,Birsfelden,4,eegaHwqnm@yUpNi\_mBpRqpAlcAuf@fWezAxr@uWxUrOyYdu@oMkDex@~vA_C`bAi\jkB,47.55555,7.61644
3,DEDUI00000,Duisburg,4,g`nyHsw}g@jSknAly@w}@ji@i@jrG{fA_CiqEhOmrAbfAz]bo@r`B|qAxoCvu@hs@jK`]wvAvyCudB`]ecAyeAy}@zZa_@tyDkjAfo@cq@{ZopA}iFgwAxv@yo@h~BmHj^kT_k@_MwkD~LwI~TpnBbY_z@,51.52276,6.71114
4,DEFLO00000,Floersheim,4,wxdpHg|er@iHylAoXm}AzFiKva@jk@pChIdJhw@oC`e@iF~c@wJs@,50.00092,8.39124
5,BEGNE00000,Gent,4,sxgwHy_~U{UmnD|cB~y@xKmTdQmvAdQvIjd@d_@{VdzAr|@~c@|OsaAh_C~hC`c@nU~_AzDzn@jDru@jfAvGdkAInhAqmDc|@acAgo@i}@uyAkfAitAg`BccAjDbm@eu@kZ`I~y@wm@jD,51.16314,3.76333
6,DEGDO00000,Godorf,4,meiuHk~qi@oR}SeTci@gXn\fCvj@h|@}H,50.84263,6.97846
7,NLIJM00000,Ijmuiden,4,_xd_Iis`[zDvIa\jnAdEpGrJyHxKsa@fCdCqLbd@r@xAg@dClB|F_@r@oFgHoLpN_FmLi@tCt@ve@vTnOkBpL}OcLy@|CM`_@y]w@D}UwEud@H_C{c@uxCrUsiD??pUwB??}C`R??r[~j@??d@znE??t^}nA??,52.4584,4.59589
8,DELEV00000,Leverkusen,4,ghnvHobni@qRg`@~x@qpAjz@eB|bB`{@vw@mEx}@gsDtq@qd@v}@ze@riAtfAyGzp@sTb^apAy`CmGh~@uWvdA_yCx{Ao`Aqd@gp@s@cc@yh@uu@piA,51.03252,6.95864
9,DELUH00000,Ludwigshaven,4,mr{lHy~pr@qDcHcItAgEnc@na@tu@pZhCfDoc@k^eP}L{a@,49.46231,8.44797
10,DEMAN00000,Mannheim,4,crjmHgylr@F?{FqN??hm@adF??dc@um@??dz@{K??`PvB??rcA~oA??zRp]??lIhC??bBsH??bgAjD??nJ`O??eq@f}@??wfAtW??s]fJ??x_A}dB??JkD??yIyC??gc@x~@??ej@lq@??gyCpbA??,49.53906,8.4266
11,NLRTM00000,Rotterdam,4,{eh|HwhhW??ucA{gL??l~@mkH??vhBq|H??fuEghN??`kDcgH??eTouP??qQwmI??~k@ssF??{hBmbF??b\_mE??z{@se@??rAm}A??`d@mT??|s@l}A??q~@thE??tn@dP??`d@x{D??hfBppA??{NdwB??fLflA???~lE??_t@l}A??iDrlC??xV???`l@~eB??diAucA??bd@`{@??ma@xv@??hDhhC??rAjmG??_t@~lE??mkCtaB??qxCtqG??knAjfD??gq@deI??j{BvbS??gjGb`E??,51.98446,3.9798
12,NLVLI00000,Vlissingen,4,qq`yHoe}T`dAsH{Buf@iaAxJ,51.45385,3.59528
13,NLMOE00000,Moerdijk,4,mumzHw_sZkOhC_@yeAsSocCgEmCkGms@|BkOmWuxCyE_o@mNyUmSgo@hAiGdx@k^bTv_@dp@ef@bhBncFrg@vkDqs@nUooAbhB~@rt@}VvI,51.68487,4.5262
14,DEKEH00000,Kehl,4,ggqgHwovn@x}@viBa@lEaPa@oaDs}B,48.59012,7.82092
15,NLVKR00000,Volkerak,4,s~mzHa}{Y~lDztDfiAzcEpaBjjQccDwBrPasCs]anB}SerDgk@cjDqr@qbAqw@m[qg@edAynAknDdy@c~B,51.68634,4.40801
16,NLZLB00000,Zaltbommel,4,cmf{Hgn|^|PuP{e@qqHeWjZxGhdC~b@lcD,51.81154,5.22996
17,DEBWX00000,Waal,4,{or{Hcpzc@dRbHoUj_Aw`@pbA_Ar{@fGb^dR|SdTn\n]jSd[lT|J~ExXzZnWtm@hE|nA{V|_AqfArqAoX|x@sDfo@rDjx@|Jhw@nY|x@bc@pd@rz@piA~Cjb@eTnrC_w@hjBgaA~qCo[bqDeVzhCyV~tBeYncCo[thBsCv_C}EviBqNr{CsB|iChA`vB{L|sBhCzuA|Dv}@dSbrAva@zaCfIn~A_BpfEdYdwBtj@tkAn]zXx^|[bd@`]jm@lTfcAdu@h}@p_Bjx@zfA`v@nk@pjAhjB}JjwCgpAn~A{ZntB,51.87342,6.03922
18,NLABL00000,Alblasserdam,4,mjp{Hyek[ja@cb@nYwTf]gb@nn@kr@aHwl@yNgA{Txv@eb@dVoXrr@}SC_Iz{@,51.86231,4.65005
19,NLDOR00000,Dordrecht,4,_~~zH}jg[gCx`@yi@cHwhAdy@??e`@{K??yd@mmC??sCiJ??}a@un@??s[_i@??`DoF??`pBnfA??``AfJ??~CpfB??xfAsD??,51.77328,4.63039
20,NLSLD00000,Sliedrecht,4,evh{H}m~[rLeq@zY{bAaSaRkQ`p@}Ebx@rCz],51.82323,4.74863
21,NLWKD00000,Werkendam,4,{be{Higw\?}JqIYk{@}uBch@gzBeIbNnZ|{Afd@j~Ad^rt@xDhG`EgFjE|FbGgJ,51.80478,4.87557
22,NLGOR00000,Gorinchem,4,sbj{Hqyb]aOrDgLyCAkFvM_CdIke@rCwZmGqCfBwOtGYT_{AgU}\sRgSw`@cSgQ_FP{IhV`E`c@p[jO`TjQxWxMiMvDWwXxsE,51.83034,4.93481
23,NLDRU00000,Druten,4,ozw{Hiy}`@tPwtLve@fJlI`s@mc@htAbAr`BaKxuBrB`bAuVnF,51.90072,5.56453
24,NLIJZ00000,Ijzendoorn,4,ccx{Hodu`@zd@gFgIixAgGuWeUolAmJvBi@r^rGlxC|EbH,51.9021,5.52024
25,NLUTC00000,Utrecht,4,qh`}Hoi~]tIFi@fFyLhC_w@h_BfGdB?gFr_@aw@b@hVbC?Yw\jJgQYza@fD`@bAah@dIPUzZvDz@bAkm@fTh@Uha@pEPfDkdB}BXyB|j@mBpE{i@kC^hN,52.10777,5.0756
